ID,T_Circularity,rect2_Width,rect2_Height,rect2_Phi,Area,Anisometry,Bulkiness,StructureFactor,Circularity,Compactness,Convexity,Rectangularity,ContLength,Ra,Rb,Phi,outer_Radius,inner_Radius,inner_Width,inner_Height,dist_Mean,dist_Deviation,Roundness,num_Sides,connect_Num,holes_Num,area_Holes,max_Diameter,Orientation,Euler_number,moments_M11,moments_M20,moments_M02,moments_Ia,moments_Ib,moments_M11_invar,moments_M20_invar,moments_M02_invar,moments_Phi1,moments_Phi2,moments_M21,moments_M12,moments_M03,moments_M30,moments_M21_invar,moments_M12_invar,moments_M03_invar,moments_M30_invar,moments_Psi1,moments_Psi2,moments_Psi3,moments_Psi4,sk_rect2_Width,sk_rect2_Height,sk_rect2_Phi,sk_Area,sk_Anisometry,sk_Bulkiness,sk_StructureFactor,sk_Circularity,sk_Compactness,sk_Convexity,sk_Rectangularity,sk_ContLength,sk_Ra,sk_Rb,sk_Phi,sk_outer_Radius,sk_inner_Radius,sk_inner_Width,sk_inner_Height,sk_dist_Mean,sk_dist_Deviation,sk_Roundness,sk_num_Sides,sk_connect_Num,sk_holes_Num,sk_area_Holes,sk_max_Diameter,sk_Orientation,sk_Euler_number,sk_moments_M11,sk_moments_M20,sk_moments_M02,sk_moments_Ia,sk_moments_Ib,sk_moments_M11_invar,sk_moments_M20_invar,sk_moments_M02_invar,sk_moments_Phi1,sk_moments_Phi2,sk_moments_M21,sk_moments_M12,sk_moments_M03,sk_moments_M30,sk_moments_M21_invar,sk_moments_M12_invar,sk_moments_M03_invar,sk_moments_M30_invar,sk_moments_Psi1,sk_moments_Psi2,sk_moments_Psi3,sk_moments_Psi4,Class
1,0.309852,231.2,77.7745,-0.0312398,67251,3.04174,1.03977,2.16272,0.359323,1.99017,0.96253,0.940288,1296.88,260.198,85.5426,-0.0187862,236.869,77,124,439,161.786,58.1316,0.640689,2.28851,1,0,0,472.738,3.12281,1,1.91E+07,1.23E+08,1.14E+09,1.14E+09,1.23E+08,0.00421611,0.0272815,0.251602,0.278883,0.0503906,7.36E+08,7.73E+08,-5.16E+09,-3.88E+07,2.42E-06,2.54E-06,-1.70E-05,-1.28E-07,0.0068463,-5.25E-12,-1.91E-07,1.05E-08,212.232,66.2212,0.0120187,858,4.74451,47.8905,226.217,0.0038747,321.053,0.019087,0.0188097,1860.53,249.109,52.5046,-0.0124853,214.085,0.5,72,0,114.301,54.838,0.520233,1.99636,1,0,0,427.17,-0.0124853,1,158790,593302,1.33E+07,1.33E+07,591320,0.2157,0.805938,18.0787,18.8846,298.533,6.07E+06,1.29E+08,5.90E+08,-8.37E+06,0.00961249,0.204258,0.93454,-0.0132576,14.5238,-118.303,-63.4199,7977.25,OK
1,0.394804,237,79,0,65816,2.97172,1.02304,2.04018,0.323572,1.8796,0.9638,0.875616,1246.82,252.372,84.9244,-0.0117436,238.538,78.5,144,337,158.964,56.5424,0.644306,2.29948,1,0,0,475.77,3.12985,1,1.09E+07,1.19E+08,1.05E+09,1.05E+09,1.19E+08,0.00251918,0.0274247,0.2419,0.269325,0.0460252,1.74E+09,-9.63E+07,-9.76E+09,2.74E+07,6.11E-06,-3.38E-07,-3.42E-05,9.60E-08,0.0066277,-1.35E-10,-9.71E-07,5.20E-08,221,60.4329,-0.093761,646,4.85824,56.775,274.826,0.00368324,235.906,0.0189293,0.0177893,1383.85,238.155,49.0208,0.00183854,221.5,0.5,0,83,103.166,63.4227,0.385235,1.77571,1,0,0,442,-3.13975,1,-16127.3,388120,9.16E+06,9.16E+06,388090,-0.0386453,0.930039,21.9495,22.8795,441.824,2.27E+07,1.26E+08,-2.91E+08,-9.79E+06,0.0843625,0.465549,-1.08016,-0.0363198,20.4124,-12346.8,-525.635,88102.8,OK
1,0.314205,231.08,78.45,-0.0153049,68940,2.9957,1.04893,2.14229,0.369881,1.93065,0.959659,0.95076,1293.28,262.594,87.6568,-0.0248725,237.541,77.5,118,444,162.767,58.0617,0.643283,2.29636,1,0,0,474.081,3.11672,1,2.63E+07,1.33E+08,1.19E+09,1.19E+09,1.32E+08,0.00552419,0.0280012,0.249918,0.277919,0.0493692,2.58E+08,-1.79E+09,-3.28E+09,7.11E+07,7.88E-07,-5.47E-06,-1.00E-05,2.17E-07,0.0069675,-1.28E-12,-1.05E-07,6.05E-09,212.818,61.9516,0.146158,627,4.83613,67.221,324.089,0.00326021,248.948,0.0146547,0.0139645,1400.53,254.718,52.6699,0.0993892,215.126,0.5,0,90,111.634,65.7657,0.410881,1.81181,1,0,0,429.253,0.0993892,1,-961226,530695,1.01E+07,1.02E+07,434843,-2.44507,1.34992,25.626,26.9759,613.24,-1.55E+07,-2.08E+07,2.82E+08,708378,-0.0628564,-0.084227,1.1442,0.00287384,28.6148,-519.403,-137.324,34078.1,OK
1,0.314719,234.309,77.5649,-0.0183466,67057,3.04843,1.04155,2.17511,0.357079,2.01474,0.958683,0.943875,1302.98,260.331,85.3984,-0.000492021,237.367,76.5,126,438,162.764,58.4023,0.641184,2.29001,1,0,0,473.714,3.1411,1,498856,1.22E+08,1.14E+09,1.14E+09,1.22E+08,0.00011094,0.0271892,0.252667,0.279856,0.0508403,7.52E+08,7.91E+08,-5.27E+09,-6.59E+07,2.49E-06,2.62E-06,-1.75E-05,-2.19E-07,0.0068698,-6.13E-12,-2.07E-07,1.14E-08,220.687,69.7242,0.00932374,667,4.96067,65.8548,325.684,0.0032891,258.307,0.01363,0.00972772,1471.42,263.361,53.0899,-0.0249553,224.1,0.5,0,89,120.012,59.2163,0.506582,1.97008,1,0,0,447.2,-0.0249553,1,276780,476899,1.16E+07,1.16E+07,469991,0.622133,1.07195,25.9811,27.0531,622.015,-2.32E+06,1.08E+08,2.76E+08,-3.44E+06,-0.00780713,0.362333,0.931204,-0.0115849,27.4634,-1021.83,-169.561,37474.4,OK
1,0.40492,233.902,79.4549,-0.0444152,64572,2.95879,1.0271,2.03897,0.320403,1.87689,0.959708,0.873295,1234.09,249.926,84.4687,-0.0395887,236.494,77.5,138,340,157.262,56.0219,0.643766,2.29783,1,0,0,470.877,3.102,1,3.53E+07,1.17E+08,1.01E+09,1.01E+09,1.15E+08,0.00847144,0.0279596,0.241498,0.269458,0.0458858,1.96E+09,-1.32E+09,-1.10E+10,2.62E+08,7.27E-06,-4.89E-06,-4.07E-05,9.73E-07,0.00668044,-3.08E-10,-1.47E-06,7.97E-08,208.724,41.9702,-0.0514252,586,4.95804,49.4651,244.25,0.00375487,207.434,0.0247571,0.00935761,1235.93,213.884,43.1388,-0.00890301,209.501,0.5,75,0,91.5613,58.448,0.361652,1.74441,1,0,0,418.001,3.13269,1,57236.3,273140,6.70E+06,6.70E+06,272630,0.166677,0.795408,19.5149,20.3103,350.529,8.49E+06,1.48E+07,-2.08E+08,-8.64E+06,0.042199,0.0733784,-1.03378,-0.0429243,15.4945,253.194,-83.2588,17515,OK
1,0.317727,235.041,78.304,-0.073939,65613,3.00835,1.02734,2.09061,0.334377,1.95627,0.954663,0.878536,1270.03,254.063,84.4527,-0.0627156,236.361,77.5,102,431,160.887,56.8623,0.64657,2.30643,1,0,0,471.228,3.07888,1,5.89E+07,1.21E+08,1.06E+09,1.06E+09,1.17E+08,0.0136842,0.0280348,0.245084,0.273118,0.0478592,1.91E+09,-2.87E+08,-1.23E+10,3.28E+08,6.76E-06,-1.01E-06,-4.36E-05,1.16E-06,0.00668362,-2.31E-10,-1.26E-06,6.77E-08,219.155,65.3084,-0.0746275,691,4.80456,56.2971,269.483,0.00325671,262.485,0.0171959,0.0116032,1509.72,243.912,50.7668,-0.0924282,220.632,0.5,75,0,105.629,65.1217,0.383486,1.77333,1,0,0,440.264,-0.0924282,1,903610,528982,1.02E+07,1.03E+07,445224,1.89245,1.10786,21.3489,22.4568,424.027,1.90E+07,1.99E+08,5.07E+08,-8.30E+06,0.0575119,0.602898,1.53615,-0.0251538,20.0702,-7140.91,-387.268,62759.7,OK
1,0.389119,234.001,79.4205,-0.0532829,65194,2.93325,1.02697,2.01237,0.324587,1.88477,0.961833,0.870298,1242.62,250.025,85.238,-0.0454352,236.184,78.5,134,341,158.747,55.7992,0.648502,2.3124,1,0,0,469.102,3.09616,1,4.09E+07,1.20E+08,1.02E+09,1.02E+09,1.18E+08,0.00961245,0.0282982,0.23928,0.267578,0.0448828,2.27E+09,-7.70E+08,-1.30E+10,3.04E+08,8.19E-06,-2.78E-06,-4.70E-05,1.10E-06,0.00667878,-4.65E-10,-1.80E-06,9.70E-08,220.901,58.0843,-0.14222,592,6.16111,55.9308,343.596,0.00324385,217.76,0.0181768,0.0132528,1272.78,254.824,41.3601,-0.0756972,221.42,0.5,74,0,109.623,67.2797,0.386265,1.77712,1,0,0,441.808,-0.0756972,1,705616,306693,9.56E+06,9.61E+06,253178,2.01338,0.875106,27.2694,28.1445,712.872,2.64E+07,1.20E+08,1.01E+08,-3.62E+06,0.127398,0.576952,0.488466,-0.0174607,19.8099,-7621.6,-467.078,80920.2,OK
1,0.324422,232.358,78.7088,-0.0485448,67778,3.04482,1.03744,2.15882,0.360098,1.93448,0.959403,0.934854,1283.61,261.055,85.7374,-0.061986,237.39,77,110,440,162.179,57.5484,0.645156,2.30208,1,0,0,473.781,3.07961,1,6.37E+07,1.29E+08,1.15E+09,1.15E+09,1.25E+08,0.0138652,0.0279745,0.25051,0.278485,0.0502911,5.21E+08,-1.82E+09,-6.17E+09,1.73E+08,1.67E-06,-5.84E-06,-1.98E-05,5.54E-07,0.00681564,-7.46E-12,-2.29E-07,1.26E-08,211.71,66.3023,0.0654335,697,4.57759,61.1429,278.887,0.0036032,272.707,0.014875,0.0151377,1545.5,249.191,54.4372,-0.00767604,213.344,0.5,75,0,110.078,63.4139,0.423917,1.83107,1,0,0,424.029,-0.00767604,1,79090,516982,1.08E+07,1.08E+07,516375,0.162801,1.06417,22.2714,23.3356,449.854,-1.39E+07,1.48E+07,5.23E+08,-6.56E+06,-0.0410217,0.0437235,1.54347,-0.0193716,23.674,63.1059,-84.4616,18578.4,OK
1,0.325207,234.086,79.4603,-0.060532,65847,3.0126,1.02976,2.10225,0.333433,1.99284,0.946159,0.883499,1284.13,254.995,84.6428,-0.0458187,237.526,77.5,110,434,160.661,56.9611,0.645458,2.303,1,0,0,474.052,3.09577,1,4.36E+07,1.20E+08,1.07E+09,1.07E+09,1.18E+08,0.0100508,0.0276618,0.246409,0.27407,0.0482542,1.93E+09,-2.69E+08,-1.21E+10,2.46E+08,6.76E-06,-9.44E-07,-4.25E-05,8.62E-07,0.00671509,-2.28E-10,-1.26E-06,6.81E-08,223.311,57.367,0.0433402,725,5.10416,53.3009,271.056,0.00347417,281.022,0.0170693,0.0137944,1600.09,250.567,49.0907,-0.0313881,225.034,0.5,75,0,108.696,66.0277,0.392547,1.78577,1,0,0,448.714,-0.0313881,1,343247,447571,1.14E+07,1.14E+07,436794,0.653026,0.851502,21.6291,22.4806,433.412,-8.74E+06,3.71E+07,5.15E+08,-9.14E+06,-0.0229403,0.0973789,1.3522,-0.0239878,17.9907,235.736,-55.5864,10959.7,OK
1,0.31255,230.582,79.567,-0.0340501,68375,2.98028,1.04976,2.12859,0.359579,2.30822,0.952723,0.930885,1408.29,260.945,87.557,-0.0432907,237.692,78.5,140,350,163.442,55.2447,0.661992,2.35555,1,0,0,474.384,3.0983,1,4.47E+07,1.33E+08,1.16E+09,1.16E+09,1.31E+08,0.0095525,0.0284439,0.248552,0.276996,0.0488124,8.06E+08,-1.67E+09,-8.92E+09,1.11E+08,2.52E-06,-5.24E-06,-2.79E-05,3.48E-07,0.00697852,-1.49E-11,-3.32E-07,1.87E-08,219.909,72.6833,0.0959147,808,4.04551,60.6117,244.205,0.00369168,309.208,0.0160732,0.0144556,1771.89,251.128,62.0758,-0.0171075,220.411,0.5,73,0,112.789,62.2672,0.447932,1.86827,1,0,0,439.823,-0.0171075,1,204580,781889,1.27E+07,1.27E+07,778389,0.313357,1.19763,19.5074,20.7051,335.642,-3.86E+07,5.29E+07,8.94E+08,-9.53E+06,-0.0731603,0.100373,1.69558,-0.0180717,23.2645,-2155.67,-236.846,44962.8,OK
